Group,Sentence,Label,Category,Confidence
Türk,6 Şubat 2023'te gerçekleşen ve Kahramanmaraş'ın Pazarcık ile Elbistan ilçeleri merkez olmak üzere on bir ilde büyük bir yıkıma neden olan iki depremden sonra Türk halkı topyekûn seferber olmuş ve bölge halkına pek çok yardım malzemesi göndermiştir,NEGATIVE,Negative,0.896091878414154
Türk,Bu konuda 'Türk çocuğu ecdadını tanıdıkça daha büyük işler yapmak için kendinde kuvvet bulacaktır,NEGATIVE,Negative,0.7502307891845703
Türk,Abidenin tavan kısmında mozaiklerle Türk bayrağı işlenmiştir,POSITIVE,Positive,0.9480264186859131
Türk,''(…) Atatürk 1935 yılında Gelibolu Yarımadası'nı gezen Profesör Doktor Afet İnan'ın Gelibolu Yarımadası'nda neden Türk Abideleri bulunmadığı sorusuna şu sözleri söylemişti,NEGATIVE,Negative,0.5644311904907227
Türk,"Ancak seni tatmin etmek için söyleyeyim ki, bu toprakların Türk hudutları içinde kalmasıyla, Mehmetçik en büyük abideyi bizzat kurmuştur",POSITIVE,Positive,0.9731884598731995
Türk,"Vatanını savunan emperyalizme karşı mücadele veren insanların, isimsiz Türk askerlerinin abidesi",POSITIVE,Positive,0.8466896414756775
Türk,"Jale İnan (1914-2001)
Türkiye'nin önde gelen arkeologlarından biri olan ve Türk arkeoloji bilimine yaptığı katkıları ile tanınan Jale İnan, yaptığı araştırma ve kazı çalışmalarıyla Anadolu'nun antik dönemlerine ışık tutan buluntuların keşfedilmesinde önemli bir role sahiptir",POSITIVE,Positive,0.843513548374176
Türk,"Aynı şekilde ilk endüstriyel buhar makinesinin 1769'da James Watt (Ceymis Vat) tarafından icat edilmesi olay, Sanayi Devrimi olgu; 1789'da Fransız İhtilali'nin başlaması olay, milliyetçilik düşüncesinin ortaya çıkması olgu; Atatürk'ün 19 Mayıs'ta Samsun'a çıkışı olay, Türk inkılabı ise olgudur",NEGATIVE,Negative,0.5596199035644531
Türk,"Andronikos'un 1259'da doğumundan başlayarak 1308'e kadar, kendi döneminin yarım yüzyılı kapsayan tarihini yazdığı eserinde, az önce bahsettiğimiz konuların hepsine değinmesi, eserin Türk tarihi açısından ne kadar önemli olduğunu bir kez daha ortaya koymaktadır",POSITIVE,Positive,0.9817638993263245
Türk,"Türk düşmanlığı üzerine kurgulanmış, çarpıtılmış bilgilerle kaleme alınmışlardı",NEGATIVE,Negative,0.9992984533309937
Türk,"Onun için Türk tarihçisi bir yere varmak için hem mühendis, mimar olacak, hem de amele gibi çalışacak",NEGATIVE,Negative,0.8287764191627502
Türk,"Bu yıl, Türk Kara Kuvvetlerinin sembolik olarak kuruluş yılı kabul edilmiştir",POSITIVE,Positive,0.5084115266799927
Türk,"Grubunuzla birlikte 5N1K tekniğini kullanarak Eski Çağ'da hazırlanmış ve uygulanmış Urkagina, Hammurabi, Hitit ve 12 Levha Kanunları ile Türk töre hukukundan seçtiğiniz konuda hukukun toplumsal düzeni sağlamadaki rolüyle ilgili sorular belirleyiniz",POSITIVE,Positive,0.6009326577186584
Türk,"Türkistan'da yaşayan Türk toplulukları, toplumsal düzeni töre (yazılı olmayan kanunlar) aracılığıyla sağlamıştır",POSITIVE,Positive,0.8165544867515564
Türk,"Bir devlet kurduklarında önce töre kurallarını belirleyen Türkler, devletlerini bu kurallara göre yönetmiştir (Görsel 2",POSITIVE,Positive,0.7977609634399414
Türk,"yüzyılda Antik Yunanlar tarafından inşa edilen Concordia (Konkordiya) Tapınağı, İtalya
İlk Türk devletlerinde mezarların etrafına dikilen ve ölen kişinin hayattayken öldürdüğü düşman sayısını gösteren balballar, Kırgızistan
Mezopotamya uygarlıklarında ibadet yeri, okul, arşiv, depo ve rasathane olar",POSITIVE,Positive,0.9649627208709717
Türk,"Türkler, atı evcilleştirmiş ve at arabasını icat etmiştir",POSITIVE,Positive,0.8092537522315979
Türk,"Türkler, mezarların üzerine balbal adı verilen taşlar dikmiştir",POSITIVE,Positive,0.9194052815437317
Türk,"Türkler, konargöçer yaşam tarzından dolayı halı, kilim gibi kolay taşınabilen eşyalar kullanmıştır",NEGATIVE,Negative,0.9594501852989197
Türk,"Hitit tanrı rölyefi
Bir Türk atlısı
Antik Yunan vazosu
Sümer duvar resmi
Yunan tapınağı
Aztek tanrı heykeli
Eski Mısırlılar, MÖ 3000'lerde hiyeroglif adı verilen bir duvar yazısı kullanmışlardır",NEGATIVE,Negative,0.7555302977561951
Türk,"Eski Çağ'da Türkistan'da yaşayan Türkler, yaygın olarak Gök Tanrı inancını benimsemiştir",POSITIVE,Positive,0.8036646842956543
Türk,"Gök Tanrı'yı tek yaratıcı olarak kabul eden Türkler, yılın belli zamanlarında hem Gök Tanrı hem de ataları için kurban kesmiştir",POSITIVE,Positive,0.5841778516769409
Türk,"Atalarının ruhlarına büyük saygı duyan Türkler; ölülerin hayatta kalanları korumaya devam ettiğine inanmışlar, mezarlarına yapılan herhangi bir saygısızlığı savaş nedeni saymışlardır",POSITIVE,Positive,0.9068228006362915
Türk,"Halılara işledikleri motiflere özel anlamlar yükleyen Türkler, zaman zaman bu motiflerin aralarına gizledikleri şifreler yardımıyla birbirleriyle haberleşmişlerdir",POSITIVE,Positive,0.9109175801277161
Türk,Türk kağanlar da tahta çıkma törenlerinde halı üzerinde tahta kaldırılmıştır,NEGATIVE,Negative,0.9532524347305298
Türk,"Savaşçı bir karaktere sahip olan Türkler, bakır ve demiri işleyerek o dönem için oldukça gelişmiş silahlar üretmişler; kullandıkları kama, kılıç, miğfer ve zırhları özgün motiflerle süslemişlerdir",POSITIVE,Positive,0.8179711103439331
Türk,"Ayrıca tarihte atı ilk kez evcilleştiren Türkler, koşum takımını ve at arabasını da icat etmişlerdir",POSITIVE,Positive,0.9497648477554321
Türk,"'Çin vakanüvisleri tarafından Hunlarda tespit edilen Gök-Tanrı, güneş, ay yer-su, atalar ve ölüler kültü Türk kavimlerinde, muhtelif kültürlerin tesirleri altında kalmalarına rağmen, son devirlere kadar devam ettirilen kültlerdir",POSITIVE,Positive,0.6287012696266174
Türk,Çünkü Türkler öbür dünyada ikinci bir hayatın varlığına (âhiret) ve ruhların ebediliğine inanıyorlardı,POSITIVE,Positive,0.828123927116394
Türk,"Eski Türkçede (Gök-Türk, Uygur) ruh, can mânasında «tin» kelimesi kullanılıyordu",NEGATIVE,Negative,0.7481082677841187
Türk,"Eski Türk takvimi, her biri bir hayvan adı ile anılan '12 yıllık' devre esasına dayanıyordu",POSITIVE,Positive,0.8506902456283569
Türk,"Aslında Ay yılına dayandığı söylenen bu 12 Hayvanlı Türk Takviminin Gök-Türkler zamanında Güneş yılına çevrildiği anlaşılmaktadır (…)''
GAZETE TARIH
GAZETE TARIH
Türk Tarihinin ilk Izleri =
sonra dúnyada altn süslemeli sahip",POSITIVE,Positive,0.7142288088798523
Türk,"Tanri Daglarinin zirvesinde bulunan Saymali
Tas, Türk tarihinin en eski izlerini tagiyan bir yer bulgulann en çok lespit edil-
digi ikinci büyük mezar odasi
2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2 0 1 8 2019
2005 2006
2022 2023
1996 1997 1998
1986 1987 1988 1989 1990 1991 1992 1993 1994 ",POSITIVE,Positive,0.9501816034317017
Türk,"*
İlk Türklerin kullandığı On İki Hayvanlı Türk Takvimi, güneş yılı esasına göre hazırlanmıştır",POSITIVE,Positive,0.822532057762146
Türk,Yazılı kaynakların olmadığı devirlere ışık tutmakta ve bu sayede Ön Türk tarihinin anlaşılması mümkün olmaktadır,POSITIVE,Positive,0.9862456321716309
Türk,"Tas lahitlerden ve-
Iskit, Saka ve Hun akraba top-
'Bozkır Uygarlığının yaratıcıları Türkler olmuştur",NEGATIVE,Negative,0.5251681804656982
Türk,Orta Asya'da [Türkistan] atı Türkler evcilleştirmişler ve arabayı da icat etmişlerdir,NEGATIVE,Negative,0.7270339131355286
Türk,") Türklerin altun ve gümüş gibi kıymetli mâdenlere tatbik ettikleri san'at motifleri ve hükümdarların otağlarına, örginlerine (tahtlarına) ve Türk topluluğunun taşıdığı zevk inceliğine dair müşahedelere dayanan hâtıra notları ziyadesiyle ilgi çekicidir",POSITIVE,Positive,0.7670153975486755
Türk,"'
'Türkler evrenin bir kubbe biçiminde olduğunu düşünüyorlardı",POSITIVE,Positive,0.7192460894584656
Türk,"'
Türkler evreni kubbe şeklinde düşünmüşler, yurt adını verdikleri çadırlarını da kubbe şeklinde tasarlamışlardır",POSITIVE,Positive,0.8999509811401367
Türk,Türkler tarafından icat edilen görseldeki arabanın konargöçerlerin yaşamına ne gibi faydalar sağlamış olabileceğini arkadaşlarınızla,NEGATIVE,Negative,0.905897855758667
Türk,"Tann Daglar
Konargöçer Türk topluluk ve devletleri ile ilgili verilen haritayı inceleyerek soruyu",POSITIVE,Positive,0.6236338019371033
Türk,Türkler yerleşik hayata geçmeden önce konargöçer yaşam tarzını benimsemiştir,NEGATIVE,Negative,0.6655967831611633
Türk,Türkistan'da yaşayan ilk Türk boyları geçimlerini hayvancılıkla sağladıkları ve hayvanlarını aşırı sıcak ve soğuktan korumaya çalıştıkları için yılda iki kez yaylak ve kışlaklar arasında gidip gelmek zorunda kalmıştır,NEGATIVE,Negative,0.924461305141449
Türk,"Bu yer değiştirmeler, Türk boylarının bazı yaşamsal faaliyetlerini sürdürmelerini de kolaylaştırmıştır",NEGATIVE,Negative,0.7442135214805603
Türk,"'
'Büyük Selçuklu Devleti'nin siyaseti sonucunda, göçle birlikte Anadolu'ya gelen ve buralarda yerleşik yaşama geçirilen Türkler, yerleştirildikleri coğrafyaya göre isimlendirilmişlerdir",NEGATIVE,Negative,0.5437747240066528
Türk,"Ancak genel anlamda göçer Türk kabileleri, Türkmen ve Yörük isimleriyle bilinmektedirler",NEGATIVE,Negative,0.9835571050643921
Türk,"Konargöçer yaşam Türkler arasında birlik ve beraberlik duygusunun, yardımlaşma ve dayanışma becerisinin gelişmesine fayda sağlamıştır",POSITIVE,Positive,0.7563335299491882
Türk,"Türkler, bu ve benzeri sebeplerle yaylak (Görsel 2",NEGATIVE,Negative,0.9846632480621338
Türk,"Konargöçer Türkler, yaşadıkları coğrafyanın çetin koşulları nedeniyle geçimlerini genellikle hayvancılıkla sağlamıştır",NEGATIVE,Negative,0.976421594619751
Türk,"Türkler için at, bozkır yaşamının en önemli unsurudur",POSITIVE,Positive,0.9515708684921265
Türk,Türkistan'da konargöçer olarak yaşamış Türk toplulukları hangileridir,NEGATIVE,Negative,0.5561822652816772
